                         
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
     233    0.29288E-002   0.23078E-001   0.53344E-006  -0.20722E-002   0.26388E-004   0.41337E-004
     234    0.49420E-002   0.24011E-001   0.42428E-004  -0.76876E-002   0.46176E-004  -0.13882E-003
     235    0.53236E-002   0.17218E-001  -0.18641E-005   0.38085E-004  -0.88917E-006  -0.76342E-007
     236    0.53300E-002   0.17176E-001  -0.11365E-004   0.70961E-004  -0.10836E-005  -0.20759E-006
     237    0.53255E-002   0.17143E-001  -0.23249E-004   0.11873E-003  -0.13664E-005   0.15390E-006
     238    0.53049E-002   0.17130E-001  -0.37335E-004   0.18312E-003  -0.16314E-005   0.56380E-006
     239    0.52616E-002   0.17153E-001  -0.52544E-004   0.26493E-003  -0.18639E-005   0.11629E-005
     240    0.51876E-002   0.17233E-001  -0.67197E-004   0.36214E-003  -0.20388E-005   0.18439E-005
     241    0.50741E-002   0.17397E-001  -0.78722E-004   0.46597E-003  -0.20748E-005   0.25469E-005
     242    0.49088E-002   0.17674E-001  -0.84597E-004   0.55746E-003  -0.23087E-005   0.24881E-005
     243    0.46825E-002   0.18099E-001  -0.75347E-004   0.58633E-003  -0.14796E-005   0.12721E-005
     244    0.43641E-002   0.18660E-001  -0.70311E-004   0.44863E-003  -0.24060E-005  -0.52057E-005
     245    0.37653E-002   0.19342E-001  -0.49552E-004  -0.15917E-003  -0.10586E-004  -0.25247E-004
     246    0.36260E-002   0.19848E-001   0.21590E-003  -0.16115E-002  -0.10655E-004  -0.35244E-004
     247    0.51378E-002   0.20632E-001   0.71370E-003  -0.51924E-002   0.91627E-004  -0.27742E-003
     248    0.52125E-002   0.17349E-001  -0.42745E-005  -0.14063E-005  -0.52530E-006   0.25953E-006
     249    0.52177E-002   0.17345E-001  -0.56266E-005  -0.28316E-007  -0.71955E-006  -0.35891E-008
     250    0.52250E-002   0.17333E-001  -0.57285E-005   0.16306E-005  -0.90362E-006  -0.42518E-006
     251    0.52319E-002   0.17311E-001  -0.50779E-005   0.60796E-005  -0.10974E-005  -0.10454E-005
     252    0.52359E-002   0.17280E-001  -0.29872E-005   0.15401E-004  -0.12863E-005  -0.19882E-005
     253    0.52314E-002   0.17244E-001   0.81493E-006   0.32591E-004  -0.14736E-005  -0.29573E-005
     254    0.52123E-002   0.17214E-001   0.68672E-005   0.59716E-004  -0.15364E-005  -0.45950E-005
     255    0.51636E-002   0.17210E-001   0.14436E-004   0.99477E-004  -0.16644E-005  -0.48879E-005
     256    0.50850E-002   0.17270E-001   0.24183E-004   0.14488E-003  -0.12606E-005  -0.70281E-005
     257    0.49362E-002   0.17470E-001   0.36187E-004   0.18573E-003  -0.12367E-005   0.26960E-005
     258    0.47944E-002   0.17876E-001   0.48664E-005   0.13725E-003   0.26190E-005  -0.57374E-005
