
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =3784
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =       1.234   TIME= 12:47:16
 The selected element set contains stiffness types (such as SURF154 )    
  which are not valid for error estimation.                              

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE 2019 R2          19.4     ***
 DISTRIBUTED ANSYS Mechanical Enterprise                       

 00348435  VERSION=WINDOWS x64   12:47:16  AUG 04, 2019 CP=      1.234

 first try--Static Structural (B5)                                             


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
     190    0.53003E-002   0.24197E-002   0.16130E-002  -0.18265E-017   0.24612E-018   0.51548E-003
     191    0.52104E-002   0.23545E-002   0.15167E-002  -0.14397E-017   0.45491E-018   0.71437E-003
     192    0.50839E-002   0.22722E-002   0.14080E-002  -0.79370E-018   0.10494E-017   0.92682E-003
     193    0.49015E-002   0.21679E-002   0.12926E-002   0.60735E-018   0.23358E-018   0.11363E-002
     194    0.49536E-002   0.15857E-002  -0.42318E-003   0.71192E-017   0.22445E-017   0.42929E-003
     195    0.47151E-002   0.20451E-002   0.11280E-002   0.45390E-018   0.84871E-018   0.13096E-002
     196    0.67503E-002   0.27649E-002   0.11493E-002  -0.15191E-017   0.64118E-019   0.26176E-003
     197    0.49410E-002   0.15890E-002  -0.40095E-003   0.17730E-016   0.51365E-017  -0.58544E-003
     198    0.48084E-002   0.18805E-002   0.56445E-003  -0.24704E-017   0.81984E-018  -0.10976E-002
     199    0.49165E-002   0.16544E-002  -0.18955E-003   0.36305E-017  -0.41647E-018   0.73490E-003
     200    0.51516E-002   0.16341E-002  -0.48265E-003   0.34787E-017   0.20966E-017   0.92511E-003
     201    0.49564E-002   0.16750E-002  -0.17060E-003  -0.53500E-017   0.36575E-017  -0.75479E-003
     202    0.57362E-002   0.19189E-002  -0.25368E-003   0.10706E-017   0.32921E-017  -0.32017E-003
     203    0.52031E-002   0.16654E-002  -0.44479E-003   0.15295E-016   0.22939E-017  -0.88993E-003
     204    0.49393E-002   0.15874E-002  -0.40389E-003   0.90659E-017  -0.17569E-017   0.58452E-003
     205    0.48038E-002   0.18848E-002   0.58138E-003   0.79766E-018   0.23745E-017   0.11038E-002
