    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
     201  -0.10035E+003   0.99089E+001  -0.19952E+001   0.24152E+001  -0.10019E+001  -0.31177E+001
     202  -0.10097E+003   0.88372E+001  -0.48072E+001   0.24695E+001  -0.83991E+000  -0.24599E+001
     203  -0.10158E+003   0.77655E+001  -0.76192E+001   0.25237E+001   0.10706E-010  -0.15035E-009
     204  -0.10097E+003   0.88372E+001  -0.48072E+001   0.24695E+001   0.83991E+000   0.24599E+001
     205  -0.10035E+003   0.99089E+001  -0.19952E+001   0.24152E+001   0.10019E+001   0.31177E+001
     206  -0.10844E+003   0.13533E+002  -0.34146E+001   0.27074E+001  -0.62537E+000  -0.31714E+001
     207  -0.10829E+003   0.13444E+002  -0.55493E+001   0.27201E+001  -0.52120E+000  -0.26181E+001
     208  -0.10814E+003   0.13355E+002  -0.76840E+001   0.27327E+001   0.52993E-010  -0.10998E-009
     209  -0.10829E+003   0.13444E+002  -0.55493E+001   0.27201E+001   0.52120E+000   0.26181E+001
     210  -0.10844E+003   0.13533E+002  -0.34146E+001   0.27074E+001   0.62537E+000   0.31714E+001
     211  -0.10844E+003   0.13533E+002  -0.34146E+001  -0.27074E+001   0.62537E+000  -0.31714E+001
     212  -0.10829E+003   0.13444E+002  -0.55493E+001  -0.27201E+001   0.52120E+000  -0.26181E+001
     213  -0.10814E+003   0.13355E+002  -0.76840E+001  -0.27327E+001   0.13926E-010  -0.37969E-010
     214  -0.10829E+003   0.13444E+002  -0.55493E+001  -0.27201E+001  -0.52120E+000   0.26181E+001
     215  -0.10844E+003   0.13533E+002  -0.34146E+001  -0.27074E+001  -0.62537E+000   0.31714E+001
     216  -0.10035E+003   0.99089E+001  -0.19952E+001  -0.24152E+001   0.10019E+001  -0.31177E+001
     217  -0.10097E+003   0.88372E+001  -0.48072E+001  -0.24695E+001   0.83991E+000  -0.24599E+001
     218  -0.10158E+003   0.77655E+001  -0.76192E+001  -0.25237E+001  -0.33958E-010  -0.12065E-009
